"","GSM136508.CEL.gz","GSM136530.CEL.gz","GSM136517.CEL.gz","GSM136576.CEL.gz","GSM136566.CEL.gz","GSM136574.CEL.gz","GSM136575.CEL.gz","GSM136569.CEL.gz","GSM136568.CEL.gz","GSM136559.CEL.gz","GSM136565.CEL.gz","GSM136573.CEL.gz","GSM136523.CEL.gz","GSM136509.CEL.gz","GSM136727.CEL.gz","GSM136510.CEL.gz","GSM136515.CEL.gz","GSM136522.CEL.gz","GSM136507.CEL.gz","GSM136524.CEL.gz","GSM136514.CEL.gz","GSM136563.CEL.gz","GSM136564.CEL.gz","GSM136572.CEL.gz"
"1007_s_at",6.54395411490346,6.40146979780418,6.29894338610411,6.83789864576344,6.47068942326141,6.45022035557819,6.05285379708976,6.38702626375554,6.64058315611229,6.94847393870093,6.77846411129469,6.59541410490621,6.25554949385179,6.37998317159129,6.13306830865588,6.5020510710357,6.33156737101565,6.35429306589806,6.51753852866964,6.15675445469476,6.03787108312341,6.63909130376423,6.39333833972541,6.4697936908442
"1053_at",7.54670781680169,7.26354738154291,7.20169908283032,7.05276130358733,6.98020683459788,7.09619532753664,6.9838272448608,7.06055782233436,7.01045297570902,6.77504831828378,7.06368907800054,6.86469330762194,7.17476893873931,7.7025326963033,7.28078063769054,7.3022085467839,7.45650871981471,7.28285893238465,7.68928165714622,7.49196722810692,7.41313299509038,7.02873125226015,6.69723986857044,7.09234597655929
"117_at",5.40262206947701,5.0505461314581,5.02491720567337,5.30431263227148,5.21414917207178,5.17373107958586,5.02288180998309,5.17513357151304,5.28178443089436,5.30919372714808,5.07137594208511,5.09140302124113,5.23716019034042,5.39861645709615,5.40187598761326,5.39508729459108,5.28053455329933,4.98695046447124,5.56200119684663,5.03938742451233,5.05413334058901,5.36129794310785,5.21893699740666,5.34027152521253
"121_at",7.89254352123761,7.70775380285806,7.46188577516989,7.55813039510196,7.81901282351102,7.64113633888374,7.72926665639552,7.70060828736252,7.61551327010162,7.99230385332249,7.70613500572653,7.80848589176726,7.57481307661322,7.5114784510027,7.60746097435363,7.99373187151375,7.63294689072368,7.70658534250073,7.61255738010988,7.54366691727134,7.50711265819548,7.79819675136096,7.97637502649073,7.75347996835159
"1255_g_at",3.24277912532736,3.22280386019176,3.18560489382726,3.19536349496072,3.25191486357048,3.32493437933632,3.08854085402105,3.18401482996112,3.0769397871269,3.1674130793678,3.49203658019047,3.23153634379956,3.20830384214677,3.212050868678,3.2251230738,3.44018601200015,3.18509014740624,3.19243573215992,3.10730570026615,3.1282689291024,3.08595307553169,3.17479355444838,3.40903162522091,3.27403259219547
"1294_at",7.53175353702099,7.09027037265989,7.46601783312147,7.12214527916646,7.05897308718014,6.99239556570492,7.11238438235175,7.19479134712626,6.88431205090176,7.40155252641718,7.47898666470561,7.06535496699817,7.34440734892895,7.63168936449861,7.01847881330876,7.4788199613998,7.57759694951693,7.33953543638246,7.39859519426701,7.35903978422319,7.37737162890994,7.46724035106365,7.3552223663087,6.91040083982876
"1316_at",4.06301987875469,4.11161644339368,4.04312988226095,4.14218465876212,4.25945353142389,4.16131675517814,4.21622050517079,4.19534383321497,4.19699022559746,4.38301781002722,4.43717136433232,4.15008829001763,4.12081957935585,4.04953838664994,4.11713237436549,4.16305444434941,4.14649309082762,4.08582202393283,4.09575805562896,4.06906390692493,4.09861206183961,4.35271087362188,4.41883429743877,4.26091937090956
"1320_at",3.75341283961798,3.69949190917958,3.5945889540658,3.58469077621933,3.85244874948875,3.81941694498756,3.52904267800982,3.63800850058867,3.80089698462832,3.80840660589433,3.67400565864852,3.82968441904253,3.78147263357638,3.7135156306968,3.75186864630933,3.71287787768778,3.84113224485364,3.66435789625507,3.69929064722304,3.72060803169823,3.67959902461752,3.94658331449531,3.83307266066698,3.74335666347372
"1431_at",2.93727060618886,2.79798219645419,2.86210182193276,2.81995805237208,2.90715162713694,2.84025685021864,3.08897025864571,2.81877770265514,2.62730960833416,3.11806018576027,2.90935203537303,2.91636944171701,2.80363977238803,2.82371791388453,2.82415571499136,2.83063500378274,2.91612022220177,2.78458032999385,2.86451740784869,2.86673389150741,2.74097567236379,3.00663746432099,2.90354837987412,2.80432772852792
"1438_at",5.35987673589598,5.15062514553437,5.22057626639304,5.13404657275213,5.39755097465505,5.05394157957635,5.3691578008554,5.19560958016837,5.2546066194752,5.56019124318099,5.23727415570544,5.02315154527105,5.21252122445311,5.27695015288237,5.18752641701936,5.03280772653053,5.42304189876609,5.09171888677288,5.25539808113447,5.22085453314359,5.18811456978758,5.21347936600053,5.60606603325444,5.17207729513252
